date,vader_compound,vader_label
2024-12-16,0.5719,POSITIVE
2024-12-13,0.9267,POSITIVE
2024-12-03,0.2263,POSITIVE
2024-12-28,-0.2942,NEGATIVE
2024-12-03,0.9882,POSITIVE
2024-12-29,0.5719,POSITIVE
2024-12-10,-0.25,NEGATIVE
2024-12-17,-0.5187,NEGATIVE
2024-12-28,0.6597,POSITIVE
2024-12-15,0.0,NEUTRAL
2024-12-10,0.0,NEUTRAL
2024-12-18,-0.9081,NEGATIVE
2024-12-08,0.0,NEUTRAL
2024-12-15,0.5052,POSITIVE
2024-12-12,-0.4767,NEGATIVE
2024-12-11,-0.3919,NEGATIVE
2024-12-30,0.4588,POSITIVE
2024-12-08,0.0,NEUTRAL
2024-12-11,-0.5994,NEGATIVE
2024-12-01,0.6369,POSITIVE
2024-12-29,0.9502,POSITIVE
2024-12-15,-0.3566,NEGATIVE
2024-12-04,0.0,NEUTRAL
2024-12-19,0.0,NEUTRAL
2024-12-27,0.0,NEUTRAL
2024-12-03,0.7845,POSITIVE
2024-12-26,0.7184,POSITIVE
2024-12-08,0.8877,POSITIVE
2024-12-29,0.926,POSITIVE
2024-12-04,0.4767,POSITIVE
2024-12-22,0.6361,POSITIVE
2024-12-11,0.4019,POSITIVE
2024-12-18,0.0,NEUTRAL
2024-12-21,0.3612,POSITIVE
2024-12-28,0.5439,POSITIVE
2024-12-20,0.0,NEUTRAL
2024-12-08,-0.5574,NEGATIVE
2024-12-10,0.0,NEUTRAL
2024-12-23,-0.9468,NEGATIVE
2024-12-18,0.0,NEUTRAL
2024-12-06,0.9926,POSITIVE
2024-12-22,0.7806,POSITIVE
2024-12-28,-0.296,NEGATIVE
2024-12-10,0.4291,POSITIVE
2024-12-15,0.0772,POSITIVE
2024-12-24,-0.9612,NEGATIVE
2024-12-07,-0.3612,NEGATIVE
2024-12-28,-0.928,NEGATIVE
2024-12-18,0.7906,POSITIVE
2024-12-11,0.7992,POSITIVE
2024-12-24,0.7264,POSITIVE
2024-12-20,0.0,NEUTRAL
2024-12-21,0.0,NEUTRAL
2024-12-18,0.4939,POSITIVE
2024-12-26,0.5994,POSITIVE
2024-12-13,0.743,POSITIVE
2024-12-30,0.7579,POSITIVE
2024-12-20,-0.9741,NEGATIVE
2024-12-17,0.8074,POSITIVE
2024-12-27,0.9702,POSITIVE
2024-12-07,0.0,NEUTRAL
2024-12-10,0.0,NEUTRAL
2024-12-24,0.0,NEUTRAL
2024-12-27,0.0,NEUTRAL
2024-12-27,-0.5423,NEGATIVE
2024-12-20,-0.6175,NEGATIVE
2024-12-11,0.0,NEUTRAL
2024-12-17,-0.6928,NEGATIVE
2024-12-24,-0.5994,NEGATIVE
2024-12-07,0.0,NEUTRAL
2024-12-28,-0.63,NEGATIVE
2024-12-27,-0.4404,NEGATIVE
2024-12-17,-0.5994,NEGATIVE
2024-12-19,0.2263,POSITIVE
2024-12-10,-0.5399,NEGATIVE
2024-12-22,-0.7845,NEGATIVE
2024-12-28,0.6486,POSITIVE
2024-12-18,0.3182,POSITIVE
2024-12-11,0.4404,POSITIVE
2024-12-28,-0.8421,NEGATIVE
2024-12-06,0.0,NEUTRAL
2024-12-07,0.8126,POSITIVE
2024-12-27,0.7514,POSITIVE
2024-12-30,0.3182,POSITIVE
2024-12-11,-0.7717,NEGATIVE
2024-12-20,0.0,NEUTRAL
2024-12-24,-0.4019,NEGATIVE
2024-12-19,-0.4101,NEGATIVE
2024-12-03,-0.6124,NEGATIVE
2024-12-12,0.6249,POSITIVE
2024-12-28,0.0,NEUTRAL
2024-12-07,0.4215,POSITIVE
2024-12-29,0.0,NEUTRAL
2024-12-12,0.971,POSITIVE
2024-12-05,0.3818,POSITIVE
2024-12-28,-0.9245,NEGATIVE
2024-12-28,0.0,NEUTRAL
2024-12-06,-0.2644,NEGATIVE
2024-12-26,0.587,POSITIVE
2024-12-24,-0.8053,NEGATIVE
2024-12-20,-0.1027,NEGATIVE
2024-12-14,-0.854,NEGATIVE
2024-12-19,0.0,NEUTRAL
2024-12-27,-0.0772,NEGATIVE
2024-12-17,0.5994,POSITIVE
2024-12-16,-0.326,NEGATIVE
2024-12-15,0.9914,POSITIVE
2024-12-06,-0.5809,NEGATIVE
2024-12-03,0.296,POSITIVE
2024-12-10,0.331,POSITIVE
2024-12-26,-0.3566,NEGATIVE
2024-12-26,-0.3818,NEGATIVE
2024-12-19,0.296,POSITIVE
2024-12-07,-0.1779,NEGATIVE
2024-12-28,0.9926,POSITIVE
2024-12-06,-0.7717,NEGATIVE
2024-12-20,-0.5423,NEGATIVE
2024-12-22,0.0258,NEUTRAL
2024-12-26,-0.7319,NEGATIVE
2024-12-24,0.0,NEUTRAL
2024-12-30,-0.9714,NEGATIVE
2024-12-13,0.5994,POSITIVE
2024-12-03,0.8126,POSITIVE
