date,sentiment
2024-01-13,-0.981
2024-01-26,0.99
2024-01-24,0.096
2024-02-01,0.996
2024-01-08,0.998
2024-01-24,0.996
2024-01-16,-0.996
2024-01-12,0.1
2024-01-21,0.997
2024-01-31,0.998
2024-01-16,-0.1
2024-01-26,0.099
2024-01-11,-0.991
2024-01-12,-0.099
2024-01-12,0.099
2024-01-03,0.998
2024-01-11,0.099
2024-01-22,0.1
2024-01-17,0.1
2024-01-24,0.997
2024-01-25,-0.099
2024-01-29,0.097
2024-02-01,0.996
2024-01-26,-0.099
2024-01-24,-0.1
2024-01-16,0.842
2024-01-21,-0.099
2024-01-12,0.993
2024-01-25,0.1
2024-01-15,0.864
2024-01-26,0.06
2024-01-24,-0.099
2024-01-15,-0.995
2024-01-12,0.1
2024-01-08,-0.974
2024-01-24,0.099
2024-01-03,0.099
2024-01-16,0.998
2024-02-01,0.997
2024-01-05,0.1
2024-02-01,0.099
2024-01-26,-0.099
2024-01-10,-0.966
2024-01-31,0.1
2024-01-27,0.1
2024-01-25,0.1
2024-01-12,-0.1
2024-02-01,-0.995
2024-01-18,-0.994
2024-01-31,-0.994
2024-01-31,-0.078
2024-01-25,0.994
2024-01-24,0.995
2024-01-13,0.1
2024-01-12,0.998
2024-01-25,-0.097
2024-01-18,0.998
2024-01-25,-0.996
2024-01-31,-0.096
2024-01-12,0.099
2024-01-17,-0.919
2024-01-11,0.801
2024-02-01,-0.1
2024-01-30,0.997
2024-01-24,0.983
2024-01-11,0.099
2024-01-23,0.099
2024-01-30,0.099
2024-01-17,0.998
2024-01-17,-0.099
2024-01-29,-0.1
2024-01-16,0.997
2024-01-26,0.096
2024-01-17,-0.996
2024-01-24,0.997
2024-01-26,-0.099
2024-01-10,0.099
2024-01-25,-0.994
2024-01-11,-0.1
2024-01-02,-0.1
2024-02-01,-0.1
2024-01-16,0.994
2024-01-26,0.985
2024-01-17,-0.1
2024-02-01,0.997
2024-01-18,0.1
2024-01-24,-0.1
2024-01-26,0.1
2024-01-24,0.965
2024-01-22,-0.098
2024-01-18,0.998
2024-01-16,0.1
2024-01-11,0.1
2024-02-01,0.998
2024-01-26,0.998
2024-01-03,0.099
2024-01-24,0.967
2024-02-01,-0.099
2024-01-25,0.1
2024-01-18,-0.098
2024-02-19,-0.1
2024-02-08,-0.099
2024-02-02,-0.615
2024-03-01,-0.1
2024-02-13,0.998
2024-03-01,0.998
2024-02-15,-0.995
2024-02-15,0.099
2024-02-20,-0.099
2024-02-27,0.099
2024-02-15,0.997
2024-02-22,-0.099
2024-02-25,0.998
2024-03-01,0.996
2024-02-28,-0.1
2024-02-24,0.998
2024-02-05,0.995
2024-03-01,0.995
2024-02-23,0.998
2024-02-23,0.998
2024-02-29,0.998
2024-02-20,0.1
2024-02-29,0.1
2024-02-16,-0.099
2024-02-02,0.997
2024-02-02,0.099
2024-02-21,0.995
2024-02-12,0.989
2024-02-02,0.994
2024-02-27,0.1
2024-02-14,0.997
2024-02-26,0.099
2024-02-29,0.998
2024-02-28,0.998
2024-02-28,0.978
2024-02-28,-0.1
2024-02-26,0.995
2024-03-01,0.998
2024-02-16,0.1
2024-02-04,0.998
2024-02-13,0.988
2024-02-26,0.997
2024-02-29,0.982
2024-02-22,0.1
2024-02-29,-0.1
2024-02-15,-0.995
2024-02-20,0.997
2024-03-01,-0.1
2024-02-27,0.099
2024-02-16,-0.1
2024-02-21,0.998
2024-02-21,0.799
2024-02-08,-0.1
2024-02-20,0.1
2024-02-26,0.1
2024-02-02,-0.993
2024-02-21,0.099
2024-02-16,-0.1
2024-02-16,0.1
2024-02-21,-0.1
2024-03-01,0.099
2024-02-25,0.1
2024-02-26,0.1
