Date,True Movement,Predicted Movement
2024-01-03,1,0
2024-01-08,0,0
2024-01-10,0,0
2024-01-11,0,0
2024-01-16,0,0
2024-01-17,1,0
2024-01-18,0,0
2024-01-22,1,0
2024-01-23,1,0
2024-01-24,0,0
2024-01-25,1,0
2024-01-29,1,0
2024-01-30,0,0
2024-01-31,1,0
2024-02-01,0,0
2024-02-02,0,0
2024-02-05,0,1
2024-02-08,1,0
2024-02-12,0,1
2024-02-13,1,1
2024-02-14,1,1
2024-02-15,1,0
2024-02-20,1,1
2024-02-21,0,1
2024-02-22,0,1
2024-02-23,1,1
2024-02-26,1,0
2024-02-27,1,1
2024-02-28,1,1
2024-02-29,0,1
2024-03-04,0,0
2024-03-05,0,0
2024-03-06,0,0
2024-03-07,1,1
2024-03-08,1,0
2024-03-11,1,0
2024-03-12,0,0
2024-03-13,0,0
2024-03-14,1,0
2024-03-18,0,0
2024-03-19,1,0
2024-03-21,0,0
2024-03-22,0,0
2024-03-25,1,0
2024-03-26,1,0
2024-03-27,0,0
2024-03-28,1,0
2024-04-01,0,0
2024-04-02,0,0
2024-04-05,1,0
2024-04-08,1,0
2024-04-09,0,0
2024-04-11,0,0
2024-04-15,0,0
2024-04-16,1,0
2024-04-17,0,0
2024-04-18,0,0
2024-04-19,0,0
2024-04-22,1,0
2024-04-23,1,0
2024-04-24,0,0
2024-04-25,0,0
2024-04-29,0,0
2024-04-30,0,0
2024-05-01,1,0
2024-05-02,1,0
2024-05-03,1,0
2024-05-06,0,0
2024-05-07,0,0
2024-05-08,1,0
2024-05-09,1,0
2024-05-13,1,0
2024-05-14,1,0
2024-05-15,1,0
2024-05-16,0,0
2024-05-17,1,0
2024-05-20,1,0
2024-05-21,0,0
2024-05-22,1,0
2024-05-23,1,0
2024-05-28,0,0
2024-05-29,1,0
2024-05-30,1,0
2024-06-04,1,1
2024-06-06,0,1
2024-06-10,1,1
2024-06-11,1,1
2024-06-12,1,1
2024-06-13,1,1
2024-06-17,0,1
2024-06-18,1,1
2024-06-20,1,1
2024-06-24,1,1
2024-06-25,0,1
2024-06-26,0,1
2024-06-27,1,1
2024-07-01,1,1
2024-07-02,1,1
2024-07-03,1,1
2024-07-08,0,1
2024-07-09,1,1
2024-07-10,1,1
2024-07-11,0,1
2024-07-12,1,1
2024-07-15,1,1
2024-07-16,0,1
2024-07-18,0,1
2024-07-19,1,1
2024-07-22,1,1
2024-07-23,0,1
2024-07-24,1,1
2024-07-25,1,1
2024-07-29,1,1
2024-07-30,1,1
2024-07-31,0,1
2024-08-01,0,0
2024-08-05,1,0
2024-08-06,1,0
2024-08-08,0,1
2024-08-12,1,0
2024-08-13,1,0
2024-08-14,1,0
2024-08-15,0,0
2024-08-16,1,0
2024-08-19,1,0
2024-08-20,1,0
2024-08-21,1,0
2024-08-22,1,0
2024-08-23,0,0
2024-08-26,1,0
2024-08-27,1,0
2024-08-28,1,0
2024-08-29,1,0
2024-09-03,1,1
2024-09-05,1,1
2024-09-06,1,0
2024-09-09,1,1
2024-09-10,0,1
2024-09-11,0,1
2024-09-12,0,1
2024-09-13,0,1
2024-09-16,1,1
2024-09-17,1,1
2024-09-18,1,1
2024-09-20,1,0
2024-09-23,1,1
2024-09-24,0,1
2024-09-25,1,0
2024-09-26,1,0
2024-09-27,0,1
2024-09-30,1,1
2024-10-01,0,0
2024-10-02,0,1
2024-10-03,1,1
2024-10-07,1,1
2024-10-08,0,1
2024-10-09,1,0
2024-10-10,0,0
2024-10-11,1,1
2024-10-15,1,1
2024-10-16,1,1
2024-10-17,1,1
2024-10-21,0,1
2024-10-22,0,0
2024-10-23,1,1
2024-10-24,0,1
2024-10-28,1,0
2024-10-29,0,0
2024-10-30,1,0
2024-10-31,1,0
2024-11-01,0,1
2024-11-04,1,1
2024-11-05,1,1
2024-11-06,1,1
2024-11-07,1,1
2024-11-12,1,1
2024-11-13,0,1
2024-11-14,0,1
2024-11-15,1,1
2024-11-18,0,1
2024-11-19,0,1
2024-11-20,1,1
2024-11-21,1,1
2024-11-22,1,1
2024-11-25,1,1
2024-11-26,1,1
2024-11-27,1,1
2024-12-02,0,1
2024-12-03,1,1
2024-12-04,1,1
2024-12-05,1,1
2024-12-09,1,1
2024-12-10,1,1
2024-12-11,1,0
2024-12-12,1,1
2024-12-16,1,1
2024-12-17,0,1
2024-12-18,1,1
2024-12-19,0,1
2024-12-20,1,1
2024-12-23,1,1
2024-12-24,1,1
